"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"PWRSW1";"DRL0008A-MFG";1;"TPS2116DRLR";;;
2;"CHGR1";"SOT-23-5_MC_MCH";1;"MCP73831T-2ACI/OT";;;
3;"J5";"MOLEX_1050170001";1;"USB_B_Micro";;;
4;"J6,J4";"CON_5051100492_MOL";2;"5051100492";;;
5;"C8,C18,C9,C19,C20,C4";"C_0201_0603Metric";6;"4.7uF";;;
6;"R18,R17";"R_0201_0603Metric";2;"22";;;
7;"R7,R24,R22,R23";"R_0201_0603Metric";4;"??";;;
8;"U1";"SOT-23-5";1;"AP2112K-3.3";;;
9;"J3,J1";"PinHeader_1x4_P2mm_Drill1mm";2;"B4B-PH-K-S_LF__SN_";;;
10;"MMB1,LMB1,RMB1,SMB5,SMB4";"KailhSw";5;"~";;;
11;"D8";"LED_0201_0603Metric";1;"LED_B";;;
12;"R2";"R_0201_0603Metric";1;"470";;;
13;"R10,R9";"R_0201_0603Metric";2;"0";;;
14;"C5,C3";"C_0201_0603Metric";2;"100nF";;;
15;"Q8,Q7,Q9";"SOT-23-3";3;"MMBT3904-7-F";;;
16;"C11,C16";"C_0201_0603Metric";2;"0.1uF";;;
17;"C15,C10";"C_0201_0603Metric";2;"22uF";;;
18;"C14";"C_0201_0603Metric";1;"1uF";;;
19;"R11";"R_0201_0603Metric";1;"5.6";;;
20;"ENC1";"TTC_GOLD_ENCODER";1;"~";;;
21;"R8,R4,R15,R16,R1,R6,R5";"R_0201_0603Metric";7;"10k";;;
22;"XTAL1";"RT3215_RAL";1;"RT3215-32.768-12.5-TR";;;
23;"D6";"LED_0201_0603Metric";1;"LED_R";;;
24;"C7";"C_0201_0603Metric";1;"33uF";;;
25;"D2,D1";"LED_0201_0603Metric";2;"LED";;;
26;"PAW1";"PAW3395";1;"~";;;
27;"U2";"SOT-23-5_M5_MCH";1;"MIC5219-5.0YM5-TR";;;
28;"ESP1";"ESP32-S3-WROOM-1U";1;"ESP32-S3-WROOM-1U";;;
29;"C6,C1,C2";"C_0201_0603Metric";3;"10uF";;;
30;"D7";"LED_0201_0603Metric";1;"LED_G";;;
31;"C12,C13";"C_0201_0603Metric";2;"12pF";;;
32;"U3";"DDC5_TEX";1;"TPS78319DDCT";;;
33;"J2";"CONN_B02B-PASK-1_JST";1;"B02B-PASK-1";;;
34;"S4";"Switch_Slide_11.6x4mm_EG1218";1;"EG1218";;;
35;"R3";"R_0201_0603Metric";1;"2k";;;
